Publisher_ID,Publication
P0143,HarperCollins
P0144,Thames & Hudson
P0145,Springer
P0146,Macmillan
P0147,McGraw-Hill
P0148,Simon & Schuster
P0149,Penguin
P0150,Penguin
P0151,Thames & Hudson
P0152,Hachette
P0153,Penguin
P0154,Bloomsbury
P0155,Pearson
P0156,Cambridge Press
P0157,Thames & Hudson
P0158,Random House
P0159,Springer
P0160,Scholastic
P0161,Random House
P0162,Scholastic
P0163,Pearson
P0164,Bloomsbury
P0165,Springer
P0166,Thames & Hudson
P0167,Springer
P0168,DK
P0169,Bloomsbury
P0170,Routledge
P0171,Taschen
P0172,Oxford Press
P0173,Cambridge Press
P0174,Thames & Hudson
P0175,Macmillan
P0176,Cengage
P0177,HarperCollins
P0178,McGraw-Hill
P0179,Routledge
P0180,Bloomsbury
P0181,Hachette
P0182,Routledge
P0183,Thames & Hudson
P0184,SAGE
P0185,Cengage
P0186,Wiley
P0187,Macmillan
P0188,Routledge
P0189,Random House
P0190,Springer
P0191,Macmillan
P0192,Springer
P0193,Hachette
P0194,Cambridge Press
P0195,SAGE
P0196,McGraw-Hill
P0197,Taschen
P0198,Macmillan
P0199,Springer
P0200,Springer
P0201,Simon & Schuster
P0202,HarperCollins
P0203,Wiley
P0204,DK
P0205,Cambridge Press
P0206,Scholastic
P0207,Random House
P0208,Macmillan
P0209,Wiley
P0210,Cengage
P0211,Cambridge Press
P0212,DK
P0213,Pearson
P0214,DK
P0215,Taschen
P0216,Springer
P0217,Simon & Schuster
P0218,McGraw-Hill
P0219,HarperCollins
P0220,Scholastic
P0221,Macmillan
P0222,Random House
P0223,Random House
P0224,Routledge
P0225,Cambridge Press
P0226,Pearson
P0227,Random House
P0228,Simon & Schuster
P0229,Wiley
P0230,Springer
P0231,Oxford Press
P0232,Macmillan
P0233,Penguin
P0234,SAGE
P0235,Wiley
P0236,HarperCollins
P0237,HarperCollins
P0238,Hachette
P0239,Simon & Schuster
P0240,Simon & Schuster
P0241,SAGE
P0242,Springer
P0243,DK
P0244,SAGE
P0245,Random House
P0246,Penguin
P0247,Wiley
P0248,Bloomsbury
P0249,Bloomsbury
P0250,Wiley
P0251,Random House
P0252,Macmillan
P0253,Cambridge Press
P0254,SAGE
P0255,Scholastic
P0256,Cengage
P0257,Cambridge Press
P0258,Random House
P0259,Scholastic
P0260,Macmillan
P0261,Penguin
P0262,Taschen
P0263,Springer
P0264,Macmillan
P0265,DK
P0266,Simon & Schuster
P0267,Taschen
P0268,Scholastic
P0269,Bloomsbury
P0270,McGraw-Hill
P0271,Hachette
P0272,Scholastic
P0273,Macmillan
P0274,Macmillan
P0275,DK
P0276,Macmillan
P0277,HarperCollins
P0278,McGraw-Hill
P0279,Cengage
P0280,McGraw-Hill
P0281,Thames & Hudson
P0282,Random House
P0283,Routledge
P0284,Springer
P0285,Cambridge Press
P0286,Simon & Schuster
P0287,Simon & Schuster
P0288,HarperCollins
P0289,Cengage
P0290,Scholastic
P0291,Pearson
P0292,Hachette
P0293,Wiley
P0294,Cengage
P0295,Oxford Press
P0296,Macmillan
P0297,Cambridge Press
P0298,Bloomsbury
P0299,Simon & Schuster
P0300,HarperCollins
P0301,Random House
P0302,Springer
P0303,Wiley
P0304,Pearson
P0305,Routledge
P0306,HarperCollins
P0307,Simon & Schuster
P0308,Taschen
P0309,Routledge
P0310,Scholastic
P0311,Taschen
P0312,Hachette
P0313,Taschen
P0314,Cengage
P0315,Routledge
P0316,Macmillan
P0317,McGraw-Hill
P0318,Bloomsbury
P0319,Wiley
P0320,Oxford Press
P0321,Cambridge Press
P0322,Simon & Schuster
P0323,Macmillan
P0324,Thames & Hudson
P0325,Oxford Press
P0326,Hachette
P0327,Routledge
P0328,Scholastic
P0329,Macmillan
P0330,Hachette
P0331,Scholastic
P0332,Cengage
P0333,Cambridge Press
P0334,Cambridge Press
P0335,Random House
P0336,Bloomsbury
P0337,Scholastic
P0338,Bloomsbury
P0339,Cambridge Press
P0340,Simon & Schuster
P0341,Springer
P0342,Random House
P0343,Simon & Schuster
P0344,DK
P0345,Hachette
P0346,Springer
P0347,Cambridge Press
P0348,McGraw-Hill
P0349,Hachette
P0350,Scholastic
P0351,McGraw-Hill
P0352,McGraw-Hill
P0353,Wiley
P0354,Thames & Hudson
P0355,Routledge
P0356,Pearson
P0357,Scholastic
P0358,Macmillan
P0359,HarperCollins
P0360,Random House
P0361,Wiley
P0362,Routledge
P0363,SAGE
P0364,Simon & Schuster
P0365,Cengage
P0366,Oxford Press
P0367,Thames & Hudson
P0368,Cambridge Press
P0369,Thames & Hudson
P0370,Macmillan
P0371,Cambridge Press
P0372,Cengage
P0373,Pearson
P0374,SAGE
P0375,Oxford Press
P0376,Wiley
P0377,HarperCollins
P0378,Taschen
P0379,DK
P0380,Routledge
P0381,Cengage
P0382,Bloomsbury
P0383,HarperCollins
P0384,Springer
P0385,Macmillan
P0386,Taschen
P0387,Macmillan
P0388,Springer
P0389,Hachette
P0390,Cengage
P0391,Bloomsbury
P0392,SAGE
P0393,Thames & Hudson
P0394,Routledge
P0395,Macmillan
P0396,HarperCollins
P0397,Wiley
P0398,HarperCollins
P0399,SAGE
P0400,Macmillan
P0401,DK
P0402,Scholastic
P0403,Taschen
P0404,Wiley
P0405,McGraw-Hill
P0406,Routledge
P0407,HarperCollins
P0408,Scholastic
P0409,Thames & Hudson
P0410,Penguin
P0411,SAGE
P0412,Springer
P0413,Cambridge Press
P0414,Oxford Press
P0415,Pearson
P0416,Springer
P0417,Hachette
P0418,Pearson
P0419,DK
P0420,Cengage
P0421,Cambridge Press
P0422,Scholastic
P0423,Pearson
P0424,Springer
P0425,SAGE
P0426,Pearson
P0427,DK
P0428,Routledge
P0429,Scholastic
P0430,Scholastic
P0431,Random House
P0432,Hachette
P0433,Oxford Press
P0434,Bloomsbury
P0435,Pearson
P0436,Macmillan
P0437,DK
P0438,DK
P0439,McGraw-Hill
P0440,SAGE
P0441,McGraw-Hill
P0442,Taschen
P0443,Pearson
P0444,Penguin
P0445,SAGE
P0446,Macmillan
P0447,Penguin
P0448,Macmillan
P0449,DK
P0450,Springer
P0451,DK
P0452,HarperCollins
P0453,Cengage
P0454,Wiley
P0455,Bloomsbury
P0456,Springer
P0457,Oxford Press
P0458,Cengage
P0459,Oxford Press
P0460,Springer
P0461,Thames & Hudson
P0462,SAGE
P0463,Cambridge Press
P0464,Cambridge Press
P0465,Taschen
P0466,Bloomsbury
P0467,Taschen
P0468,Cengage
P0469,McGraw-Hill
P0470,Penguin
P0471,Hachette
P0472,HarperCollins
P0473,Random House
P0474,Oxford Press
P0475,HarperCollins
P0476,Hachette
P0477,DK
P0478,Oxford Press
P0479,HarperCollins
P0480,Simon & Schuster
P0481,McGraw-Hill
P0482,SAGE
P0483,Penguin
P0484,McGraw-Hill
P0485,Cengage
P0486,Cambridge Press
P0487,HarperCollins
P0488,SAGE
P0489,Simon & Schuster
P0490,Bloomsbury
P0491,Scholastic
P0492,Bloomsbury
P0493,Scholastic
P0494,Oxford Press
P0495,Scholastic
P0496,Simon & Schuster
P0497,Hachette
P0498,Hachette
P0499,Simon & Schuster
P0500,SAGE
P0501,Cambridge Press
P0502,Macmillan
P0503,Pearson
P0504,Pearson
P0505,Bloomsbury
P0506,Thames & Hudson
P0507,Routledge
P0508,DK
P0509,Random House
P0510,Random House
P0511,Wiley
P0512,DK
P0513,Springer
P0514,Wiley
P0515,DK
P0516,Cambridge Press
P0517,Bloomsbury
P0518,Simon & Schuster
P0519,Macmillan
P0520,Scholastic
P0521,SAGE
P0522,DK
P0523,Random House
P0524,Scholastic
P0525,HarperCollins
P0526,HarperCollins
P0527,Simon & Schuster
P0528,Cambridge Press
P0529,Simon & Schuster
P0530,Thames & Hudson
P0531,McGraw-Hill
P0532,Random House
P0533,Hachette
P0534,Cambridge Press
P0535,Wiley
P0536,Macmillan
P0537,Bloomsbury
P0538,Macmillan
P0539,Penguin
P0540,Macmillan
P0541,Penguin
P0542,DK
P0543,Random House
P0544,Macmillan
P0545,Thames & Hudson
P0546,DK
P0547,Routledge
P0548,Simon & Schuster
P0549,Oxford Press
P0550,HarperCollins
P0551,McGraw-Hill
P0552,DK
P0553,Taschen
P0554,Taschen
P0555,Taschen
P0556,Oxford Press
P0557,Penguin
P0558,Routledge
P0559,Pearson
P0560,Wiley
P0561,DK
P0562,Bloomsbury
P0563,SAGE
P0564,Wiley
P0565,Cambridge Press
P0566,Cengage
P0567,Cengage
P0568,Penguin
P0569,McGraw-Hill
P0570,Bloomsbury
P0571,McGraw-Hill
P0572,SAGE
P0573,Thames & Hudson
P0574,Bloomsbury
P0575,Wiley
P0576,Bloomsbury
P0577,Random House
P0578,Penguin
P0579,Taschen
P0580,Cambridge Press
P0581,Thames & Hudson
P0582,Taschen
P0583,Macmillan
P0584,Taschen
P0585,Springer
P0586,Hachette
P0587,SAGE
P0588,Pearson
P0589,DK
P0590,SAGE
P0591,DK
P0592,Cengage
P0593,Taschen
P0594,SAGE
P0595,Penguin
P0596,Taschen
P0597,Routledge
P0598,Simon & Schuster
P0599,Random House
P0600,Pearson
P0601,Thames & Hudson
P0602,Bloomsbury
P0603,Scholastic
P0604,Pearson
P0605,Bloomsbury
P0606,Oxford Press
P0607,Routledge
P0608,Penguin
P0609,Hachette
P0610,Random House
P0611,Scholastic
P0612,DK
P0613,Bloomsbury
P0614,Penguin
P0615,Pearson
P0616,Taschen
P0617,Thames & Hudson
P0618,Scholastic
P0619,Random House
P0620,Simon & Schuster
P0621,Taschen
P0622,Penguin
P0623,Taschen
P0624,McGraw-Hill
P0625,Simon & Schuster
P0626,Springer
P0627,Hachette
P0628,Cambridge Press
P0629,Hachette
P0630,Hachette
P0631,HarperCollins
P0632,HarperCollins
P0633,Pearson
P0634,Bloomsbury
P0635,Bloomsbury
P0636,Routledge
P0637,McGraw-Hill
P0638,Thames & Hudson
P0639,Thames & Hudson
P0640,Penguin
P0641,Oxford Press
P0642,Bloomsbury
P0643,Macmillan
P0644,McGraw-Hill
P0645,HarperCollins
P0646,Macmillan
P0647,Cengage
P0648,Oxford Press
P0649,Random House
P0650,Oxford Press
P0651,Scholastic
P0652,Macmillan
P0653,McGraw-Hill
P0654,Cengage
P0655,Hachette
P0656,Hachette
P0657,Hachette
P0658,Springer
P0659,Hachette
P0660,SAGE
P0661,Springer
P0662,Bloomsbury
P0663,Cambridge Press
P0664,Cengage
P0665,McGraw-Hill
P0666,Scholastic
P0667,McGraw-Hill
P0668,HarperCollins
P0669,Routledge
P0670,Routledge
P0671,DK
P0672,Taschen
P0673,Simon & Schuster
P0674,Macmillan
P0675,McGraw-Hill
P0676,Random House
P0677,Cambridge Press
P0678,DK
P0679,Pearson
P0680,DK
P0681,McGraw-Hill
P0682,Cengage
P0683,Random House
P0684,Taschen
P0685,Penguin
P0686,Oxford Press
P0687,SAGE
P0688,Thames & Hudson
P0689,Cengage
P0690,DK
P0691,Pearson
P0692,DK
P0693,Thames & Hudson
P0694,Hachette
P0695,SAGE
P0696,DK
P0697,DK
P0698,Thames & Hudson
P0699,Macmillan
P0700,Bloomsbury
P0701,Simon & Schuster
P0702,Cambridge Press
P0703,HarperCollins
P0704,Random House
P0705,Penguin
P0706,Scholastic
P0707,Taschen
P0708,Cambridge Press
P0709,Hachette
P0710,Wiley
P0711,Thames & Hudson
P0712,McGraw-Hill
P0713,Bloomsbury
P0714,Oxford Press
P0715,McGraw-Hill
P0716,McGraw-Hill
P0717,Scholastic
P0718,Cengage
P0719,Springer
P0720,DK
P0721,Simon & Schuster
P0722,Thames & Hudson
P0723,McGraw-Hill
P0724,Oxford Press
P0725,DK
P0726,Cengage
P0727,Hachette
P0728,Simon & Schuster
P0729,Thames & Hudson
P0730,Cambridge Press
P0731,Oxford Press
P0732,SAGE
P0733,Scholastic
P0734,Simon & Schuster
P0735,Oxford Press
P0736,Routledge
P0737,HarperCollins
P0738,Bloomsbury
P0739,DK
P0740,HarperCollins
P0741,Routledge
P0742,Bloomsbury
P0743,McGraw-Hill
P0744,Taschen
P0745,Taschen
P0746,Penguin
P0747,HarperCollins
P0748,Springer
P0749,Hachette
P0750,Simon & Schuster
P0751,Bloomsbury
P0752,Springer
P0753,Scholastic
P0754,Taschen
P0755,HarperCollins
P0756,Penguin
P0757,Penguin
P0758,Cengage
P0759,DK
P0760,Taschen
P0761,HarperCollins
P0762,Random House
P0763,McGraw-Hill
P0764,Routledge
P0765,Cengage
P0766,Scholastic
P0767,Simon & Schuster
P0768,Pearson
P0769,Springer
P0770,Random House
P0771,SAGE
P0772,Scholastic
P0773,Routledge
P0774,Wiley
P0775,Oxford Press
P0776,SAGE
P0777,Random House
P0778,DK
P0779,McGraw-Hill
P0780,McGraw-Hill
P0781,Springer
P0782,Simon & Schuster
P0783,McGraw-Hill
P0784,Wiley
P0785,Thames & Hudson
P0786,Pearson
P0787,Simon & Schuster
P0788,Oxford Press
P0789,Random House
P0790,Wiley
P0791,HarperCollins
P0792,Random House
P0793,Simon & Schuster
P0794,Random House
P0795,Routledge
P0796,Wiley
P0797,DK
P0798,Springer
P0799,McGraw-Hill
P0800,Pearson
P0801,Oxford Press
P0802,SAGE
P0803,Cambridge Press
P0804,HarperCollins
P0805,HarperCollins
P0806,Penguin
P0807,Wiley
P0808,Springer
P0809,Macmillan
P0810,Random House
P0811,Pearson
P0812,Bloomsbury
P0813,Routledge
P0814,SAGE
P0815,Scholastic
P0816,Oxford Press
P0817,HarperCollins
P0818,Hachette
P0819,Routledge
P0820,Simon & Schuster
P0821,HarperCollins
P0822,Thames & Hudson
P0823,Oxford Press
P0824,HarperCollins
P0825,Cambridge Press
P0826,Scholastic
P0827,Cambridge Press
P0828,Bloomsbury
P0829,Hachette
P0830,Springer
P0831,Taschen
P0832,Routledge
P0833,Cambridge Press
P0834,Thames & Hudson
P0835,HarperCollins
P0836,SAGE
P0837,Cambridge Press
P0838,Cambridge Press
P0839,Wiley
P0840,Cambridge Press
P0841,Macmillan
P0842,Bloomsbury
P0843,Penguin
P0844,Cambridge Press
P0845,Bloomsbury
P0846,Cengage
P0847,Thames & Hudson
P0848,Routledge
P0849,HarperCollins
P0850,DK
P0851,Wiley
P0852,Routledge
P0853,Thames & Hudson
P0854,SAGE
P0855,Pearson
P0856,Cambridge Press
P0857,Scholastic
P0858,Routledge
P0859,Bloomsbury
P0860,Pearson
P0861,Pearson
P0862,Springer
P0863,Springer
P0864,HarperCollins
P0865,Routledge
P0866,Penguin
P0867,Random House
P0868,SAGE
P0869,Random House
P0870,Taschen
P0871,Springer
P0872,Penguin
P0873,Scholastic
P0874,Pearson
P0875,Penguin
P0876,Pearson
P0877,Macmillan
P0878,McGraw-Hill
P0879,Cengage
P0880,Oxford Press
P0881,SAGE
P0882,Macmillan
P0883,Wiley
P0884,Routledge
P0885,Random House
P0886,Random House
P0887,Scholastic
P0888,Thames & Hudson
P0889,Cengage
P0890,HarperCollins
P0891,Penguin
P0892,Cengage
P0893,Cambridge Press
P0894,DK
P0895,Hachette
P0896,Random House
P0897,HarperCollins
P0898,Simon & Schuster
P0899,Pearson
P0900,Scholastic
P0901,Thames & Hudson
P0902,Oxford Press
P0903,Bloomsbury
P0904,Oxford Press
P0905,Simon & Schuster
P0906,Thames & Hudson
P0907,Springer
P0908,Pearson
P0909,Cengage
P0910,Springer
P0911,Cengage
P0912,Wiley
P0913,Taschen
P0914,Pearson
P0915,Penguin
P0916,Simon & Schuster
P0917,SAGE
P0918,Thames & Hudson
P0919,DK
P0920,SAGE
P0921,Scholastic
P0922,Cambridge Press
P0923,Cambridge Press
P0924,Scholastic
P0925,Oxford Press
P0926,Springer
P0927,Simon & Schuster
P0928,DK
P0929,Cambridge Press
P0930,DK
P0931,Hachette
P0932,Random House
P0933,Scholastic
P0934,HarperCollins
P0935,Wiley
P0936,HarperCollins
P0937,DK
P0938,Bloomsbury
P0939,Springer
P0940,Pearson
P0941,HarperCollins
P0942,Oxford Press
P0943,Routledge
P0944,Cengage
P0945,Thames & Hudson
P0946,Routledge
P0947,Random House
P0948,Oxford Press
P0949,Cengage
P0950,Wiley
P0951,Pearson
P0952,Macmillan
P0953,Cengage
P0954,Pearson
P0955,Routledge
P0956,Cambridge Press
P0957,SAGE
P0958,Thames & Hudson
P0959,HarperCollins
P0960,Taschen
P0961,Taschen
P0962,DK
P0963,Hachette
P0964,HarperCollins
P0965,Wiley
P0966,Scholastic
P0967,Springer
P0968,McGraw-Hill
P0969,Penguin
P0970,McGraw-Hill
P0971,McGraw-Hill
P0972,Bloomsbury
P0973,McGraw-Hill
P0974,Pearson
P0975,DK
P0976,Macmillan
P0977,Penguin
P0978,Random House
P0979,Scholastic
P0980,HarperCollins
P0981,Cengage
P0982,DK
P0983,Oxford Press
P0984,Random House
P0985,McGraw-Hill
P0986,Taschen
P0987,SAGE
P0988,Cengage
P0989,DK
P0990,Scholastic
P0991,Macmillan
P0992,Scholastic
P0993,Scholastic
P0994,McGraw-Hill
P0995,Oxford Press
P0996,Cambridge Press
P0997,Oxford Press
P0998,Macmillan
P0999,Hachette
P1000,Cambridge Press
P1001,Simon & Schuster
P1002,Cambridge Press
P1003,Wiley
P1004,Thames & Hudson
P1005,Hachette
P1006,Pearson
P1007,Springer
P1008,Simon & Schuster
P1009,Macmillan
P1010,Macmillan
P1011,Springer
P1012,Pearson
P1013,Oxford Press
P1014,Hachette
P1015,Cengage
P1016,Bloomsbury
P1017,Thames & Hudson
P1018,Simon & Schuster
P1019,Bloomsbury
P1020,Penguin
P1021,Thames & Hudson
P1022,Taschen
P1023,Pearson
P1024,McGraw-Hill
P1025,Penguin
P1026,Oxford Press
P1027,Oxford Press
P1028,Pearson
P1029,McGraw-Hill
P1030,Wiley
P1031,Macmillan
P1032,Thames & Hudson
P1033,Scholastic
P1034,Simon & Schuster
P1035,Springer
P1036,SAGE
P1037,Wiley
P1038,Hachette
P1039,Pearson
P1040,SAGE
P1041,Thames & Hudson
P1042,Macmillan
P1043,DK
P1044,Wiley
P1045,DK
P1046,DK
P1047,Springer
P1048,Penguin
P1049,McGraw-Hill
P1050,Wiley
P1051,Taschen
P1052,DK
P1053,Cengage
P1054,SAGE
P1055,DK
P1056,Springer
P1057,Pearson
P1058,Hachette
P1059,Cengage
P1060,HarperCollins
P1061,DK
P1062,Pearson
P1063,Hachette
P1064,Cambridge Press
P1065,Macmillan
P1066,Thames & Hudson
P1067,Simon & Schuster
P1068,Thames & Hudson
P1069,Routledge
P1070,Wiley
P1071,Routledge
P1072,Macmillan
P1073,Random House
P1074,Taschen
P1075,Oxford Press
P1076,Penguin
P1077,Springer
P1078,Hachette
P1079,Cengage
P1080,Springer
P1081,Wiley
P1082,Hachette
P1083,Thames & Hudson
P1084,Springer
P1085,McGraw-Hill
P1086,Simon & Schuster
P1087,Simon & Schuster
P1088,Random House
P1089,SAGE
P1090,Pearson
P1091,Random House
P1092,McGraw-Hill
P1093,Wiley
P1094,Thames & Hudson
P1095,Thames & Hudson
P1096,DK
P1097,Wiley
P1098,Simon & Schuster
P1099,DK
P1100,Scholastic
P1101,McGraw-Hill
P1102,Oxford Press
P1103,Macmillan
P1104,Wiley
P1105,Springer
P1106,Wiley
P1107,SAGE
P1108,Wiley
P1109,Taschen
P1110,Simon & Schuster
P1111,Cambridge Press
P1112,Cengage
P1113,Wiley
P1114,Scholastic
P1115,McGraw-Hill
P1116,Springer
P1117,DK
P1118,Taschen
P1119,Taschen
P1120,Springer
P1121,Hachette
P1122,Taschen
P1123,Random House
P1124,Springer
P1125,Penguin
P1126,Taschen
P1127,Pearson
P1128,McGraw-Hill
P1129,Springer
P1130,Simon & Schuster
P1131,Thames & Hudson
P1132,Scholastic
P1133,Pearson
P1134,Oxford Press
P1135,Wiley
P1136,SAGE
P1137,Taschen
P1138,Oxford Press
P1139,Random House
P1140,SAGE
P1141,Pearson
P1142,Penguin
P1143,Bloomsbury
P1144,Pearson
P1145,Simon & Schuster
P1146,HarperCollins
P1147,SAGE
P1148,Cengage
P1149,McGraw-Hill
P1150,Simon & Schuster
P1151,Pearson
P1152,Random House
P1153,Penguin
P1154,Springer
P1155,Scholastic
P1156,Bloomsbury
P1157,Simon & Schuster
P1158,McGraw-Hill
P1159,Cengage
P1160,SAGE
P1161,Taschen
P1162,Cambridge Press
P1163,Thames & Hudson
P1164,Taschen
P1165,HarperCollins
P1166,Hachette
P1167,DK
P1168,Penguin
P1169,Routledge
P1170,Hachette
P1171,Routledge
P1172,Macmillan
P1173,Cengage
P1174,Oxford Press
P1175,Springer
P1176,SAGE
P1177,Routledge
P1178,Cengage
P1179,Cengage
P1180,Scholastic
P1181,Random House
P1182,Pearson
P1183,Wiley
P1184,HarperCollins
P1185,Scholastic
P1186,Springer
P1187,McGraw-Hill
P1188,Macmillan
P1189,Macmillan
P1190,DK
P1191,Hachette
P1192,Springer
P1193,HarperCollins
P1194,Springer
P1195,HarperCollins
P1196,Random House
P1197,Macmillan
P1198,SAGE
P1199,Oxford Press
P1200,McGraw-Hill
P1201,Hachette
P1202,Scholastic
P1203,Springer
P1204,McGraw-Hill
P1205,Random House
P1206,Simon & Schuster
P1207,Routledge
P1208,Cambridge Press
P1209,Random House
P1210,Routledge
P1211,Oxford Press
P1212,Cengage
P1213,Thames & Hudson
P1214,Scholastic
P1215,Pearson
P1216,Thames & Hudson
P1217,Oxford Press
P1218,Cengage
P1219,Simon & Schuster
P1220,Random House
P1221,Thames & Hudson
P1222,Wiley
P1223,Cengage
P1224,Routledge
P1225,Cengage
P1226,Routledge
P1227,Routledge
P1228,Pearson
P1229,Oxford Press
P1230,DK
P1231,Hachette
P1232,Scholastic
P1233,DK
P1234,HarperCollins
P1235,Cengage
P1236,Macmillan
P1237,Routledge
P1238,DK
P1239,Routledge
P1240,Oxford Press
P1241,Thames & Hudson
P1242,Routledge
P1243,Penguin
P1244,Oxford Press
P1245,Wiley
P1246,McGraw-Hill
P1247,Routledge
P1248,Wiley
P1249,Springer
P1250,Simon & Schuster
P1251,Cambridge Press
P1252,Cengage
P1253,SAGE
P1254,Thames & Hudson
P1255,DK
P1256,Scholastic
P1257,Thames & Hudson
P1258,Cambridge Press
P1259,Bloomsbury
P1260,Oxford Press
P1261,Cambridge Press
P1262,Random House
P1263,Springer
P1264,Thames & Hudson
P1265,SAGE
P1266,Thames & Hudson
P1267,Springer
P1268,Wiley
P1269,DK
P1270,Routledge
P1271,Pearson
P1272,Penguin
P1273,Hachette
P1274,Simon & Schuster
P1275,Routledge
P1276,McGraw-Hill
P1277,Bloomsbury
P1278,Wiley
P1279,Simon & Schuster
P1280,Oxford Press
P1281,Springer
P1282,DK
P1283,Oxford Press
P1284,Hachette
P1285,Springer
P1286,DK
P1287,Wiley
P1288,Taschen
P1289,Penguin
P1290,Wiley
P1291,Pearson
P1292,Scholastic
P1293,Cambridge Press
P1294,Oxford Press
P1295,Hachette
P1296,Thames & Hudson
P1297,Hachette
P1298,Cengage
P1299,Scholastic
P1300,Cambridge Press
P1301,Random House
P1302,Scholastic
P1303,Springer
P1304,Pearson
P1305,Wiley
P1306,Cengage
P1307,Routledge
P1308,Random House
P1309,Penguin
P1310,HarperCollins
P1311,DK
P1312,Bloomsbury
P1313,Cengage
P1314,SAGE
P1315,Penguin
P1316,Thames & Hudson
P1317,Random House
P1318,Random House
P1319,Oxford Press
P1320,Cambridge Press
P1321,Hachette
P1322,Routledge
P1323,Penguin
P1324,McGraw-Hill
P1325,Routledge
P1326,Routledge
P1327,Hachette
P1328,Penguin
P1329,DK
P1330,Thames & Hudson
P1331,Thames & Hudson
P1332,Simon & Schuster
P1333,Bloomsbury
P1334,Bloomsbury
P1335,HarperCollins
P1336,Routledge
P1337,Bloomsbury
P1338,SAGE
P1339,HarperCollins
P1340,Routledge
P1341,Cambridge Press
P1342,Macmillan
P1343,Simon & Schuster
P1344,SAGE
P1345,Simon & Schuster
P1346,Pearson
P1347,Cengage
P1348,SAGE
P1349,Hachette
P1350,Hachette
P1351,Penguin
P1352,Thames & Hudson
P1353,Hachette
P1354,Thames & Hudson
P1355,Random House
P1356,SAGE
P1357,Random House
P1358,Routledge
P1359,Taschen
P1360,Wiley
P1361,Penguin
P1362,Pearson
P1363,Scholastic
P1364,McGraw-Hill
P1365,Bloomsbury
P1366,Cengage
P1367,Wiley
P1368,SAGE
P1369,Hachette
P1370,Taschen
P1371,Simon & Schuster
P1372,Hachette
P1373,Routledge
P1374,Penguin
P1375,Hachette
P1376,Thames & Hudson
P1377,Macmillan
P1378,SAGE
P1379,Cengage
P1380,Bloomsbury
P1381,Simon & Schuster
P1382,SAGE
P1383,Random House
P1384,Hachette
P1385,Springer
P1386,McGraw-Hill
P1387,Hachette
P1388,Thames & Hudson
P1389,Cambridge Press
P1390,Hachette
P1391,Thames & Hudson
P1392,Cengage
P1393,Pearson
P1394,Oxford Press
P1395,Simon & Schuster
P1396,Cengage
P1397,Penguin
