Sales_ID,Book_ID,Date_ID,Publisher_ID,Price,Copies_Left,Discount_Offer,Rating
S0204,B00204,D1204,P0204,722.86,291,6% off,4.5
S0205,B00205,D1205,P0205,362.74,26,34% off,1.6
S0206,B00206,D1206,P0206,765.24,233,41% off,3.2
S0207,B00207,D1207,P0207,854.84,409,5% off,2.5
S0208,B00208,D1208,P0208,625.26,184,48% off,1.5
S0209,B00209,D1209,P0209,803.84,204,27% off,4
S0210,B00210,D1210,P0210,971.79,90,9% off,4.1
S0211,B00211,D1211,P0211,399.26,183,34% off,2
S0212,B00212,D1212,P0212,705.4,465,8% off,4.8
S0213,B00213,D1213,P0213,932.17,91,19% off,2.6
S0214,B00214,D1214,P0214,695.51,408,39% off,2.8
S0215,B00215,D1215,P0215,818.37,93,12% off,5
S0216,B00216,D1216,P0216,759.77,448,22% off,3.3
S0217,B00217,D1217,P0217,553.64,204,25% off,2
S0218,B00218,D1218,P0218,310.99,409,5% off,2.3
S0219,B00219,D1219,P0219,962.86,195,29% off,4.3
S0220,B00220,D1220,P0220,621.37,336,37% off,4.5
S0221,B00221,D1221,P0221,926.24,151,29% off,2.7
S0222,B00222,D1222,P0222,877.56,362,12% off,1.7
S0223,B00223,D1223,P0223,767.79,304,27% off,4.9
S0224,B00224,D1224,P0224,179.67,185,5% off,4.9
S0225,B00225,D1225,P0225,197.32,207,33% off,2.5
S0226,B00226,D1226,P0226,545.58,339,24% off,2.1
S0227,B00227,D1227,P0227,966.46,264,22% off,2.7
S0228,B00228,D1228,P0228,875.89,466,46% off,1.8
S0229,B00229,D1229,P0229,330.51,82,32% off,4.2
S0230,B00230,D1230,P0230,637.2,197,18% off,4.6
S0231,B00231,D1231,P0231,856.22,171,41% off,2.6
S0232,B00232,D1232,P0232,727.83,124,40% off,2.2
S0233,B00233,D1233,P0233,319.89,250,45% off,1.5
S0234,B00234,D1234,P0234,130.39,50,16% off,2.5
S0235,B00235,D1235,P0235,111.27,242,20% off,2.2
S0236,B00236,D1236,P0236,374.54,382,21% off,3.6
S0237,B00237,D1237,P0237,436.09,330,22% off,3.3
S0238,B00238,D1238,P0238,911.23,340,46% off,1.6
S0239,B00239,D1239,P0239,612.5,484,11% off,2.8
S0240,B00240,D1240,P0240,106.61,350,50% off,3.6
S0241,B00241,D1241,P0241,381.75,384,46% off,3.5
S0242,B00242,D1242,P0242,637.45,466,34% off,2.3
S0243,B00243,D1243,P0243,196.74,142,21% off,4.2
S0244,B00244,D1244,P0244,158.55,206,32% off,3.2
S0245,B00245,D1245,P0245,288.06,94,46% off,4.6
S0246,B00246,D1246,P0246,292.39,123,47% off,3.8
S0247,B00247,D1247,P0247,832.13,479,19% off,2.4
S0248,B00248,D1248,P0248,164.79,128,28% off,2.2
S0249,B00249,D1249,P0249,575.61,227,35% off,2.1
S0250,B00250,D1250,P0250,979.27,471,8% off,4
S0251,B00251,D1251,P0251,616.98,380,44% off,4.6
S0252,B00252,D1252,P0252,490.47,325,28% off,4.7
S0253,B00253,D1253,P0253,786.92,328,15% off,4.5
S0254,B00254,D1254,P0254,731.06,240,50% off,3.2
S0255,B00255,D1255,P0255,677.23,497,49% off,4.9
S0256,B00256,D1256,P0256,231.42,395,17% off,3.5
S0257,B00257,D1257,P0257,848.28,245,26% off,2.8
S0258,B00258,D1258,P0258,402.5,77,32% off,2.6
S0259,B00259,D1259,P0259,272.99,184,49% off,1.9
S0260,B00260,D1260,P0260,492.92,292,28% off,2.1
S0261,B00261,D1261,P0261,690.02,466,49% off,2.4
S0262,B00262,D1262,P0262,398.52,342,41% off,3.5
S0263,B00263,D1263,P0263,634.71,15,41% off,1.6
S0264,B00264,D1264,P0264,347.95,335,40% off,2
S0265,B00265,D1265,P0265,321.96,283,7% off,3.7
S0266,B00266,D1266,P0266,174.58,344,5% off,3.3
S0267,B00267,D1267,P0267,459.86,365,48% off,3.7
S0268,B00268,D1268,P0268,943.74,220,42% off,4.4
S0269,B00269,D1269,P0269,188.12,223,8% off,4.8
S0270,B00270,D1270,P0270,223.06,68,29% off,1.6
S0271,B00271,D1271,P0271,706.63,4,35% off,4.4
S0272,B00272,D1272,P0272,581.22,429,25% off,1.3
S0273,B00273,D1273,P0273,251.41,297,18% off,4.8
S0274,B00274,D1274,P0274,495.42,403,42% off,2.9
S0275,B00275,D1275,P0275,705.36,274,24% off,3.6
S0276,B00276,D1276,P0276,983.41,19,48% off,2.7
S0277,B00277,D1277,P0277,902.86,258,18% off,2
S0278,B00278,D1278,P0278,446.37,9,14% off,1.2
S0279,B00279,D1279,P0279,897.32,6,26% off,3
S0280,B00280,D1280,P0280,607.86,35,13% off,3.9
S0281,B00281,D1281,P0281,421.56,407,27% off,2.5
S0282,B00282,D1282,P0282,201.85,285,9% off,4.4
S0283,B00283,D1283,P0283,621.4,139,5% off,2.8
S0284,B00284,D1284,P0284,447.31,424,35% off,3.1
S0285,B00285,D1285,P0285,514.64,217,47% off,4.8
S0286,B00286,D1286,P0286,751.1,300,32% off,3.5
S0287,B00287,D1287,P0287,312.27,299,43% off,4.1
S0288,B00288,D1288,P0288,255.38,118,30% off,3.3
S0289,B00289,D1289,P0289,383.54,496,32% off,1.7
S0290,B00290,D1290,P0290,156.94,218,21% off,4.5
S0291,B00291,D1291,P0291,665.54,194,9% off,5
S0292,B00292,D1292,P0292,127.06,70,39% off,3.3
S0293,B00293,D1293,P0293,765.35,175,8% off,3
S0294,B00294,D1294,P0294,182.35,21,20% off,2.9
S0295,B00295,D1295,P0295,950.65,9,22% off,5
S0296,B00296,D1296,P0296,698.95,235,34% off,1.8
S0297,B00297,D1297,P0297,387.61,74,5% off,4
S0298,B00298,D1298,P0298,794.26,435,46% off,4.3
S0299,B00299,D1299,P0299,374.49,292,18% off,1.4
S0300,B00300,D1300,P0300,921.64,486,37% off,2.9
S0301,B00301,D1301,P0301,162.82,490,46% off,3
S0302,B00302,D1302,P0302,469.92,60,24% off,1.4
S0303,B00303,D1303,P0303,916.72,216,6% off,1.9
S0304,B00304,D1304,P0304,424.2,261,23% off,4.8
S0305,B00305,D1305,P0305,178.55,353,50% off,4.6
S0306,B00306,D1306,P0306,636.21,96,21% off,1.7
S0307,B00307,D1307,P0307,125.96,472,36% off,4.1
S0308,B00308,D1308,P0308,337.28,493,39% off,2.4
S0309,B00309,D1309,P0309,809.62,70,12% off,3.6
S0310,B00310,D1310,P0310,960.79,378,50% off,1.2
S0311,B00311,D1311,P0311,991.39,142,7% off,3.6
S0312,B00312,D1312,P0312,270.87,164,43% off,4
S0313,B00313,D1313,P0313,494.02,467,29% off,3.7
S0314,B00314,D1314,P0314,453.2,120,7% off,3.5
S0315,B00315,D1315,P0315,276.58,273,26% off,4.7
S0316,B00316,D1316,P0316,869.37,270,49% off,3
S0317,B00317,D1317,P0317,125.28,158,31% off,3.7
S0318,B00318,D1318,P0318,135.18,29,12% off,1.4
S0319,B00319,D1319,P0319,647.05,95,48% off,1.8
S0320,B00320,D1320,P0320,550.76,443,9% off,4.5
S0321,B00321,D1321,P0321,450.99,289,30% off,1.5
S0322,B00322,D1322,P0322,313.13,271,33% off,2.5
S0323,B00323,D1323,P0323,169.04,464,15% off,2.7
S0324,B00324,D1324,P0324,801.74,72,43% off,1.1
S0325,B00325,D1325,P0325,172.38,165,20% off,2.7
S0326,B00326,D1326,P0326,337.81,151,30% off,2.4
S0327,B00327,D1327,P0327,509.51,76,10% off,3.1
S0328,B00328,D1328,P0328,712.15,297,47% off,2.4
S0329,B00329,D1329,P0329,608.06,368,16% off,3.5
S0330,B00330,D1330,P0330,671.39,290,37% off,3.9
S0331,B00331,D1331,P0331,753.58,298,29% off,3.5
S0332,B00332,D1332,P0332,100.05,423,16% off,2.1
S0333,B00333,D1333,P0333,203.75,440,47% off,2.8
S0334,B00334,D1334,P0334,359.62,491,45% off,4.9
S0335,B00335,D1335,P0335,170.42,302,9% off,2.7
S0336,B00336,D1336,P0336,750.04,46,18% off,2.6
S0337,B00337,D1337,P0337,348.05,339,50% off,3.3
S0338,B00338,D1338,P0338,982.31,174,13% off,4
S0339,B00339,D1339,P0339,553.66,308,41% off,4
S0340,B00340,D1340,P0340,884.33,55,37% off,4.1
S0341,B00341,D1341,P0341,450.94,351,19% off,3.1
S0342,B00342,D1342,P0342,305.03,471,28% off,4.2
S0343,B00343,D1343,P0343,290,250,45% off,4.5
S0344,B00344,D1344,P0344,725.6,8,15% off,3.6
S0345,B00345,D1345,P0345,484.31,227,9% off,1.4
S0346,B00346,D1346,P0346,363.32,276,24% off,1.6
S0347,B00347,D1347,P0347,130.51,144,27% off,1.2
S0348,B00348,D1348,P0348,953.38,171,14% off,3
S0349,B00349,D1349,P0349,429.71,130,50% off,1.6
S0350,B00350,D1350,P0350,740.14,31,39% off,1.1
S0351,B00351,D1351,P0351,327.92,32,32% off,1.8
S0352,B00352,D1352,P0352,562.78,261,15% off,2.2
S0353,B00353,D1353,P0353,678.15,96,9% off,3
S0354,B00354,D1354,P0354,729.07,62,12% off,4.1
S0355,B00355,D1355,P0355,196.11,421,29% off,2.2
S0356,B00356,D1356,P0356,235.17,107,50% off,3.4
S0357,B00357,D1357,P0357,386.58,259,26% off,2.4
S0358,B00358,D1358,P0358,655.42,371,45% off,2.9
S0359,B00359,D1359,P0359,910.49,171,35% off,1.2
S0360,B00360,D1360,P0360,551.27,107,21% off,4.7
S0361,B00361,D1361,P0361,343.48,201,9% off,4.8
S0362,B00362,D1362,P0362,842.77,65,5% off,3
S0363,B00363,D1363,P0363,741.34,162,26% off,4.5
S0364,B00364,D1364,P0364,489.97,132,42% off,2.4
S0365,B00365,D1365,P0365,209.47,230,39% off,4.6
S0366,B00366,D1366,P0366,688.76,364,43% off,1.9
S0367,B00367,D1367,P0367,303.24,207,31% off,3.2
S0368,B00368,D1368,P0368,502.98,188,43% off,2.9
S0369,B00369,D1369,P0369,838.2,16,10% off,4.4
S0370,B00370,D1370,P0370,201.56,27,21% off,3.4
S0371,B00371,D1371,P0371,162.85,245,49% off,3.9
S0372,B00372,D1372,P0372,760.55,469,40% off,1.1
S0373,B00373,D1373,P0373,462.45,286,31% off,3.3
S0374,B00374,D1374,P0374,774.09,375,5% off,2.7
S0375,B00375,D1375,P0375,862.15,487,27% off,2.3
S0376,B00376,D1376,P0376,791.99,99,20% off,4
S0377,B00377,D1377,P0377,364.21,309,43% off,3.5
S0378,B00378,D1378,P0378,942.71,222,46% off,1.9
S0379,B00379,D1379,P0379,176.76,477,14% off,4.6
S0380,B00380,D1380,P0380,905.67,459,26% off,1.2
S0381,B00381,D1381,P0381,572.42,175,32% off,2.5
S0382,B00382,D1382,P0382,598.31,386,11% off,4.7
S0383,B00383,D1383,P0383,455.33,387,31% off,2.7
S0384,B00384,D1384,P0384,706.69,224,37% off,3.9
S0385,B00385,D1385,P0385,875.52,374,36% off,4
S0386,B00386,D1386,P0386,255.67,193,15% off,2.7
S0387,B00387,D1387,P0387,836.52,378,50% off,1.9
S0388,B00388,D1388,P0388,992.99,269,6% off,4.3
S0389,B00389,D1389,P0389,111.91,362,25% off,3.8
S0390,B00390,D1390,P0390,474.55,467,25% off,2.2
S0391,B00391,D1391,P0391,403.29,432,41% off,4.5
S0392,B00392,D1392,P0392,320.73,11,14% off,2.3
S0393,B00393,D1393,P0393,154.32,274,37% off,4.5
S0394,B00394,D1394,P0394,515.24,405,36% off,2.9
S0395,B00395,D1395,P0395,946.34,37,39% off,3.3
S0396,B00396,D1396,P0396,904.03,278,44% off,3.7
S0397,B00397,D1397,P0397,930.93,16,8% off,3
S0398,B00398,D1398,P0398,612.01,315,35% off,1.7
S0399,B00399,D1399,P0399,209.57,87,48% off,3.4
S0400,B00400,D1400,P0400,894.47,285,29% off,4
S0401,B00401,D1401,P0401,893.68,50,33% off,2.8
S0402,B00402,D1402,P0402,279.75,224,40% off,2.5
S0403,B00403,D1403,P0403,128.09,369,5% off,3.2
S0404,B00404,D1404,P0404,974.4,268,16% off,1.8
S0405,B00405,D1405,P0405,654.01,412,37% off,1.7
S0406,B00406,D1406,P0406,488.21,117,7% off,3.7
S0407,B00407,D1407,P0407,302.06,441,23% off,2.7
S0408,B00408,D1408,P0408,929.25,57,11% off,2.6
S0409,B00409,D1409,P0409,268.94,297,30% off,3
S0410,B00410,D1410,P0410,835.05,55,43% off,1.6
S0411,B00411,D1411,P0411,503.92,265,16% off,2.2
S0412,B00412,D1412,P0412,465.64,462,24% off,4.7
S0413,B00413,D1413,P0413,761.44,78,5% off,1.2
S0414,B00414,D1414,P0414,427.09,25,11% off,2
S0415,B00415,D1415,P0415,518.74,445,21% off,4.1
S0416,B00416,D1416,P0416,490.28,13,22% off,1.7
S0417,B00417,D1417,P0417,687.36,404,29% off,1
S0418,B00418,D1418,P0418,554.31,90,13% off,4
S0419,B00419,D1419,P0419,222.7,236,37% off,3.9
S0420,B00420,D1420,P0420,259.06,351,31% off,3.8
S0421,B00421,D1421,P0421,963.22,223,10% off,3.1
S0422,B00422,D1422,P0422,740.66,5,21% off,1.7
S0423,B00423,D1423,P0423,707.39,307,36% off,3.2
S0424,B00424,D1424,P0424,590.27,319,19% off,1.1
S0425,B00425,D1425,P0425,209.01,304,32% off,1.8
S0426,B00426,D1426,P0426,518.71,15,7% off,4.8
S0427,B00427,D1427,P0427,874.68,315,25% off,4.2
S0428,B00428,D1428,P0428,230.93,340,37% off,3.3
S0429,B00429,D1429,P0429,101.67,232,19% off,1.2
S0430,B00430,D1430,P0430,358.03,466,35% off,2.4
S0431,B00431,D1431,P0431,334.08,301,46% off,2.1
S0432,B00432,D1432,P0432,213.86,73,26% off,1.1
S0433,B00433,D1433,P0433,838.05,121,44% off,1.7
S0434,B00434,D1434,P0434,786.53,204,37% off,1.4
S0435,B00435,D1435,P0435,209.82,479,35% off,1.2
S0436,B00436,D1436,P0436,565.62,329,13% off,1.1
S0437,B00437,D1437,P0437,656.66,101,30% off,1.7
S0438,B00438,D1438,P0438,416.96,218,18% off,1.1
S0439,B00439,D1439,P0439,103.84,65,20% off,2.1
S0440,B00440,D1440,P0440,264.32,276,28% off,2.5
S0441,B00441,D1441,P0441,143.56,199,25% off,1.5
S0442,B00442,D1442,P0442,475.76,2,6% off,1.6
S0443,B00443,D1443,P0443,772.55,239,50% off,4.6
S0444,B00444,D1444,P0444,122.05,282,34% off,1.8
S0445,B00445,D1445,P0445,921.6,254,43% off,1.6
S0446,B00446,D1446,P0446,841.08,442,41% off,1.7
S0447,B00447,D1447,P0447,148.55,201,27% off,3.1
S0448,B00448,D1448,P0448,976.36,294,49% off,4.6
S0449,B00449,D1449,P0449,615.7,417,7% off,4.7
S0450,B00450,D1450,P0450,902.74,302,5% off,2.4
S0451,B00451,D1451,P0451,123.5,95,13% off,1.4
S0452,B00452,D1452,P0452,602.1,22,40% off,1.2
S0453,B00453,D1453,P0453,814.9,55,25% off,2.7
S0454,B00454,D1454,P0454,259.22,399,15% off,2.9
S0455,B00455,D1455,P0455,698.87,143,6% off,1.8
S0456,B00456,D1456,P0456,828.23,495,38% off,1.1
S0457,B00457,D1457,P0457,105.51,500,36% off,3.9
S0458,B00458,D1458,P0458,471.15,379,11% off,1.2
S0459,B00459,D1459,P0459,695.45,243,19% off,4.4
S0460,B00460,D1460,P0460,666.5,391,41% off,1.1
S0461,B00461,D1461,P0461,908.5,6,41% off,1
S0462,B00462,D1462,P0462,986.11,259,18% off,3.1
S0463,B00463,D1463,P0463,121.95,94,8% off,4.2
S0464,B00464,D1464,P0464,462.71,276,9% off,1.6
S0465,B00465,D1465,P0465,494,308,23% off,2.2
S0466,B00466,D1466,P0466,674.05,294,10% off,4.6
