Date_ID,Sales_Date,Day,Month,Quarter,Year,Weekday
D1040,25-06-2025,25,6,Q2,2025,Wednesday
D1041,24-03-2025,24,3,Q1,2025,Monday
D1042,15-10-2024,15,10,Q4,2024,Tuesday
D1043,31-03-2025,31,3,Q1,2025,Monday
D1044,30-08-2025,30,8,Q3,2025,Saturday
D1045,19-10-2024,19,10,Q4,2024,Saturday
D1046,10-03-2025,10,3,Q1,2025,Monday
D1047,30-12-2024,30,12,Q4,2024,Monday
D1048,19-04-2024,19,4,Q2,2024,Friday
D1049,03-05-2024,3,5,Q2,2024,Friday
D1050,14-01-2024,14,1,Q1,2024,Sunday
D1051,22-11-2024,22,11,Q4,2024,Friday
D1052,06-06-2025,6,6,Q2,2025,Friday
D1053,27-11-2024,27,11,Q4,2024,Wednesday
D1054,24-10-2025,24,10,Q4,2025,Friday
D1055,21-11-2024,21,11,Q4,2024,Thursday
D1056,25-12-2024,25,12,Q4,2024,Wednesday
D1057,08-11-2024,8,11,Q4,2024,Friday
D1058,05-05-2025,5,5,Q2,2025,Monday
D1059,08-06-2025,8,6,Q2,2025,Sunday
D1060,03-10-2024,3,10,Q4,2024,Thursday
D1061,04-06-2024,4,6,Q2,2024,Tuesday
D1062,03-05-2024,3,5,Q2,2024,Friday
D1063,28-01-2024,28,1,Q1,2024,Sunday
D1064,24-05-2024,24,5,Q2,2024,Friday
D1065,01-12-2023,1,12,Q4,2023,Friday
D1066,28-11-2024,28,11,Q4,2024,Thursday
D1067,23-09-2025,23,9,Q3,2025,Tuesday
D1068,26-08-2024,26,8,Q3,2024,Monday
D1069,15-11-2023,15,11,Q4,2023,Wednesday
D1070,22-10-2024,22,10,Q4,2024,Tuesday
D1071,02-11-2023,2,11,Q4,2023,Thursday
D1072,23-03-2024,23,3,Q1,2024,Saturday
D1073,22-09-2024,22,9,Q3,2024,Sunday
D1074,22-09-2025,22,9,Q3,2025,Monday
D1075,04-04-2025,4,4,Q2,2025,Friday
D1076,06-10-2025,6,10,Q4,2025,Monday
D1077,07-10-2025,7,10,Q4,2025,Tuesday
D1078,10-01-2025,10,1,Q1,2025,Friday
D1079,07-11-2023,7,11,Q4,2023,Tuesday
D1080,14-08-2024,14,8,Q3,2024,Wednesday
D1081,01-12-2024,1,12,Q4,2024,Sunday
D1082,30-07-2025,30,7,Q3,2025,Wednesday
D1083,09-10-2025,9,10,Q4,2025,Thursday
D1084,03-11-2023,3,11,Q4,2023,Friday
D1085,27-05-2025,27,5,Q2,2025,Tuesday
D1086,28-05-2024,28,5,Q2,2024,Tuesday
D1087,23-07-2024,23,7,Q3,2024,Tuesday
D1088,18-03-2025,18,3,Q1,2025,Tuesday
D1089,07-06-2024,7,6,Q2,2024,Friday
D1090,15-10-2025,15,10,Q4,2025,Wednesday
D1091,28-08-2025,28,8,Q3,2025,Thursday
D1092,23-12-2024,23,12,Q4,2024,Monday
D1093,26-12-2024,26,12,Q4,2024,Thursday
D1094,11-12-2023,11,12,Q4,2023,Monday
D1095,21-07-2025,21,7,Q3,2025,Monday
D1096,18-09-2024,18,9,Q3,2024,Wednesday
D1097,13-12-2023,13,12,Q4,2023,Wednesday
D1098,07-01-2025,7,1,Q1,2025,Tuesday
D1099,28-10-2024,28,10,Q4,2024,Monday
D1100,21-01-2025,21,1,Q1,2025,Tuesday
D1101,19-07-2025,19,7,Q3,2025,Saturday
D1102,13-08-2025,13,8,Q3,2025,Wednesday
D1103,30-08-2024,30,8,Q3,2024,Friday
D1104,02-10-2024,2,10,Q4,2024,Wednesday
D1105,15-11-2023,15,11,Q4,2023,Wednesday
D1106,26-09-2024,26,9,Q3,2024,Thursday
D1107,17-12-2024,17,12,Q4,2024,Tuesday
D1108,05-07-2025,5,7,Q3,2025,Saturday
D1109,18-04-2024,18,4,Q2,2024,Thursday
D1110,27-07-2025,27,7,Q3,2025,Sunday
D1111,07-01-2025,7,1,Q1,2025,Tuesday
D1112,10-02-2024,10,2,Q1,2024,Saturday
D1113,03-11-2024,3,11,Q4,2024,Sunday
D1114,06-02-2025,6,2,Q1,2025,Thursday
D1115,04-05-2024,4,5,Q2,2024,Saturday
D1116,01-03-2024,1,3,Q1,2024,Friday
D1117,25-04-2024,25,4,Q2,2024,Thursday
D1118,18-05-2024,18,5,Q2,2024,Saturday
D1119,17-08-2024,17,8,Q3,2024,Saturday
D1120,08-06-2025,8,6,Q2,2025,Sunday
D1121,20-05-2024,20,5,Q2,2024,Monday
D1122,10-07-2024,10,7,Q3,2024,Wednesday
D1123,26-09-2024,26,9,Q3,2024,Thursday
D1124,23-12-2023,23,12,Q4,2023,Saturday
D1125,21-06-2024,21,6,Q2,2024,Friday
D1126,29-11-2023,29,11,Q4,2023,Wednesday
D1127,24-04-2025,24,4,Q2,2025,Thursday
D1128,23-05-2025,23,5,Q2,2025,Friday
D1129,10-09-2025,10,9,Q3,2025,Wednesday
D1130,15-11-2023,15,11,Q4,2023,Wednesday
D1131,09-03-2025,9,3,Q1,2025,Sunday
D1132,08-07-2025,8,7,Q3,2025,Tuesday
D1133,05-01-2025,5,1,Q1,2025,Sunday
D1134,10-05-2025,10,5,Q2,2025,Saturday
D1135,20-04-2025,20,4,Q2,2025,Sunday
D1136,25-07-2025,25,7,Q3,2025,Friday
D1137,24-06-2025,24,6,Q2,2025,Tuesday
D1138,09-06-2025,9,6,Q2,2025,Monday
D1139,17-09-2025,17,9,Q3,2025,Wednesday
D1140,01-11-2024,1,11,Q4,2024,Friday
D1141,14-03-2024,14,3,Q1,2024,Thursday
D1142,29-12-2024,29,12,Q4,2024,Sunday
D1143,28-04-2025,28,4,Q2,2025,Monday
D1144,29-04-2024,29,4,Q2,2024,Monday
D1145,24-12-2024,24,12,Q4,2024,Tuesday
D1146,22-03-2025,22,3,Q1,2025,Saturday
D1147,15-06-2024,15,6,Q2,2024,Saturday
D1148,19-11-2023,19,11,Q4,2023,Sunday
D1149,17-04-2024,17,4,Q2,2024,Wednesday
D1150,23-06-2024,23,6,Q2,2024,Sunday
D1151,20-07-2024,20,7,Q3,2024,Saturday
D1152,27-07-2024,27,7,Q3,2024,Saturday
D1153,03-11-2023,3,11,Q4,2023,Friday
D1154,01-02-2025,1,2,Q1,2025,Saturday
D1155,24-09-2025,24,9,Q3,2025,Wednesday
D1156,04-01-2025,4,1,Q1,2025,Saturday
D1157,08-10-2025,8,10,Q4,2025,Wednesday
D1158,13-01-2024,13,1,Q1,2024,Saturday
D1159,07-05-2024,7,5,Q2,2024,Tuesday
D1160,15-08-2025,15,8,Q3,2025,Friday
D1161,01-05-2025,1,5,Q2,2025,Thursday
D1162,11-11-2023,11,11,Q4,2023,Saturday
D1163,06-04-2024,6,4,Q2,2024,Saturday
D1164,17-04-2025,17,4,Q2,2025,Thursday
D1165,08-02-2025,8,2,Q1,2025,Saturday
D1166,20-01-2025,20,1,Q1,2025,Monday
D1167,17-02-2024,17,2,Q1,2024,Saturday
D1168,03-07-2024,3,7,Q3,2024,Wednesday
D1169,12-03-2024,12,3,Q1,2024,Tuesday
D1170,06-09-2025,6,9,Q3,2025,Saturday
D1171,21-06-2024,21,6,Q2,2024,Friday
D1172,12-04-2024,12,4,Q2,2024,Friday
D1173,15-11-2024,15,11,Q4,2024,Friday
D1174,04-04-2024,4,4,Q2,2024,Thursday
D1175,21-05-2025,21,5,Q2,2025,Wednesday
D1176,27-11-2023,27,11,Q4,2023,Monday
D1177,27-10-2024,27,10,Q4,2024,Sunday
D1178,09-04-2025,9,4,Q2,2025,Wednesday
D1179,06-06-2024,6,6,Q2,2024,Thursday
D1180,05-01-2025,5,1,Q1,2025,Sunday
D1181,18-09-2025,18,9,Q3,2025,Thursday
D1182,19-02-2025,19,2,Q1,2025,Wednesday
D1183,13-02-2025,13,2,Q1,2025,Thursday
D1184,31-10-2024,31,10,Q4,2024,Thursday
D1185,12-10-2025,12,10,Q4,2025,Sunday
D1186,25-02-2025,25,2,Q1,2025,Tuesday
D1187,22-10-2024,22,10,Q4,2024,Tuesday
D1188,23-05-2024,23,5,Q2,2024,Thursday
D1189,19-08-2024,19,8,Q3,2024,Monday
D1190,17-04-2024,17,4,Q2,2024,Wednesday
D1191,13-10-2024,13,10,Q4,2024,Sunday
D1192,05-02-2025,5,2,Q1,2025,Wednesday
D1193,14-04-2024,14,4,Q2,2024,Sunday
D1194,01-07-2024,1,7,Q3,2024,Monday
D1195,29-09-2025,29,9,Q3,2025,Monday
D1196,13-07-2024,13,7,Q3,2024,Saturday
D1197,12-08-2025,12,8,Q3,2025,Tuesday
D1198,24-04-2025,24,4,Q2,2025,Thursday
D1199,14-10-2024,14,10,Q4,2024,Monday
D1200,30-05-2024,30,5,Q2,2024,Thursday
D1201,13-02-2024,13,2,Q1,2024,Tuesday
D1202,10-07-2024,10,7,Q3,2024,Wednesday
D1203,24-09-2025,24,9,Q3,2025,Wednesday
D1204,18-11-2024,18,11,Q4,2024,Monday
D1205,02-10-2024,2,10,Q4,2024,Wednesday
D1206,27-03-2024,27,3,Q1,2024,Wednesday
D1207,18-08-2024,18,8,Q3,2024,Sunday
D1208,04-04-2025,4,4,Q2,2025,Friday
D1209,22-03-2025,22,3,Q1,2025,Saturday
D1210,24-12-2024,24,12,Q4,2024,Tuesday
D1211,06-11-2023,6,11,Q4,2023,Monday
D1212,13-04-2025,13,4,Q2,2025,Sunday
D1213,01-04-2025,1,4,Q2,2025,Tuesday
D1214,20-02-2024,20,2,Q1,2024,Tuesday
D1215,08-03-2024,8,3,Q1,2024,Friday
D1216,26-01-2024,26,1,Q1,2024,Friday
D1217,06-02-2024,6,2,Q1,2024,Tuesday
D1218,09-06-2024,9,6,Q2,2024,Sunday
D1219,09-09-2024,9,9,Q3,2024,Monday
D1220,13-03-2025,13,3,Q1,2025,Thursday
D1221,25-06-2024,25,6,Q2,2024,Tuesday
D1222,28-05-2025,28,5,Q2,2025,Wednesday
D1223,02-02-2025,2,2,Q1,2025,Sunday
D1224,28-01-2024,28,1,Q1,2024,Sunday
D1225,24-09-2024,24,9,Q3,2024,Tuesday
D1226,19-06-2025,19,6,Q2,2025,Thursday
D1227,26-04-2025,26,4,Q2,2025,Saturday
D1228,07-01-2025,7,1,Q1,2025,Tuesday
D1229,03-09-2024,3,9,Q3,2024,Tuesday
D1230,22-02-2024,22,2,Q1,2024,Thursday
D1231,16-11-2023,16,11,Q4,2023,Thursday
D1232,03-07-2024,3,7,Q3,2024,Wednesday
D1233,09-10-2024,9,10,Q4,2024,Wednesday
D1234,24-08-2025,24,8,Q3,2025,Sunday
D1235,05-02-2025,5,2,Q1,2025,Wednesday
D1236,22-06-2024,22,6,Q2,2024,Saturday
D1237,19-05-2024,19,5,Q2,2024,Sunday
D1238,09-12-2023,9,12,Q4,2023,Saturday
D1239,23-05-2024,23,5,Q2,2024,Thursday
D1240,20-10-2025,20,10,Q4,2025,Monday
D1241,03-07-2025,3,7,Q3,2025,Thursday
D1242,29-05-2024,29,5,Q2,2024,Wednesday
D1243,21-07-2024,21,7,Q3,2024,Sunday
D1244,19-11-2023,19,11,Q4,2023,Sunday
D1245,10-04-2024,10,4,Q2,2024,Wednesday
D1246,18-04-2024,18,4,Q2,2024,Thursday
D1247,09-03-2024,9,3,Q1,2024,Saturday
D1248,14-03-2024,14,3,Q1,2024,Thursday
D1249,04-12-2023,4,12,Q4,2023,Monday
D1250,03-07-2024,3,7,Q3,2024,Wednesday
D1251,29-12-2023,29,12,Q4,2023,Friday
D1252,22-10-2025,22,10,Q4,2025,Wednesday
D1253,19-06-2024,19,6,Q2,2024,Wednesday
D1254,02-06-2025,2,6,Q2,2025,Monday
D1255,22-10-2024,22,10,Q4,2024,Tuesday
D1256,04-11-2023,4,11,Q4,2023,Saturday
D1257,18-08-2025,18,8,Q3,2025,Monday
D1258,14-11-2024,14,11,Q4,2024,Thursday
D1259,19-07-2025,19,7,Q3,2025,Saturday
D1260,18-04-2024,18,4,Q2,2024,Thursday
D1261,18-03-2024,18,3,Q1,2024,Monday
D1262,06-07-2024,6,7,Q3,2024,Saturday
D1263,16-03-2025,16,3,Q1,2025,Sunday
D1264,18-11-2024,18,11,Q4,2024,Monday
D1265,08-11-2023,8,11,Q4,2023,Wednesday
D1266,27-01-2024,27,1,Q1,2024,Saturday
D1267,10-05-2024,10,5,Q2,2024,Friday
D1268,19-03-2025,19,3,Q1,2025,Wednesday
D1269,16-07-2024,16,7,Q3,2024,Tuesday
D1270,29-01-2025,29,1,Q1,2025,Wednesday
D1271,22-09-2025,22,9,Q3,2025,Monday
D1272,08-04-2024,8,4,Q2,2024,Monday
D1273,22-03-2024,22,3,Q1,2024,Friday
D1274,26-07-2024,26,7,Q3,2024,Friday
D1275,11-06-2025,11,6,Q2,2025,Wednesday
D1276,05-03-2024,5,3,Q1,2024,Tuesday
D1277,20-10-2025,20,10,Q4,2025,Monday
D1278,24-12-2024,24,12,Q4,2024,Tuesday
D1279,16-02-2024,16,2,Q1,2024,Friday
D1280,26-04-2025,26,4,Q2,2025,Saturday
D1281,20-08-2024,20,8,Q3,2024,Tuesday
D1282,05-04-2024,5,4,Q2,2024,Friday
D1283,11-11-2024,11,11,Q4,2024,Monday
D1284,14-08-2025,14,8,Q3,2025,Thursday
D1285,15-03-2025,15,3,Q1,2025,Saturday
D1286,02-11-2024,2,11,Q4,2024,Saturday
D1287,16-08-2024,16,8,Q3,2024,Friday
D1288,21-01-2024,21,1,Q1,2024,Sunday
D1289,12-09-2024,12,9,Q3,2024,Thursday
D1290,02-02-2025,2,2,Q1,2025,Sunday
D1291,18-01-2025,18,1,Q1,2025,Saturday
D1292,16-10-2025,16,10,Q4,2025,Thursday
D1293,20-06-2025,20,6,Q2,2025,Friday
D1294,10-08-2025,10,8,Q3,2025,Sunday
D1295,06-10-2025,6,10,Q4,2025,Monday
D1296,12-01-2024,12,1,Q1,2024,Friday
D1297,27-02-2025,27,2,Q1,2025,Thursday
D1298,04-04-2025,4,4,Q2,2025,Friday
D1299,20-04-2024,20,4,Q2,2024,Saturday
D1300,09-01-2025,9,1,Q1,2025,Thursday
D1301,05-04-2025,5,4,Q2,2025,Saturday
D1302,21-12-2024,21,12,Q4,2024,Saturday
D1303,20-08-2025,20,8,Q3,2025,Wednesday
D1304,21-03-2024,21,3,Q1,2024,Thursday
D1305,05-11-2023,5,11,Q4,2023,Sunday
D1306,08-07-2024,8,7,Q3,2024,Monday
D1307,01-08-2025,1,8,Q3,2025,Friday
D1308,25-01-2025,25,1,Q1,2025,Saturday
D1309,12-06-2024,12,6,Q2,2024,Wednesday
D1310,13-10-2024,13,10,Q4,2024,Sunday
D1311,15-09-2024,15,9,Q3,2024,Sunday
D1312,03-09-2024,3,9,Q3,2024,Tuesday
D1313,14-08-2024,14,8,Q3,2024,Wednesday
D1314,21-01-2024,21,1,Q1,2024,Sunday
D1315,28-10-2024,28,10,Q4,2024,Monday
D1316,11-06-2025,11,6,Q2,2025,Wednesday
D1317,25-06-2025,25,6,Q2,2025,Wednesday
D1318,12-02-2024,12,2,Q1,2024,Monday
D1319,20-09-2025,20,9,Q3,2025,Saturday
D1320,05-05-2025,5,5,Q2,2025,Monday
D1321,31-08-2024,31,8,Q3,2024,Saturday
D1322,05-09-2025,5,9,Q3,2025,Friday
D1323,24-08-2025,24,8,Q3,2025,Sunday
D1324,29-11-2023,29,11,Q4,2023,Wednesday
D1325,10-02-2024,10,2,Q1,2024,Saturday
D1326,28-05-2025,28,5,Q2,2025,Wednesday
D1327,02-03-2025,2,3,Q1,2025,Sunday
D1328,04-02-2024,4,2,Q1,2024,Sunday
D1329,16-02-2024,16,2,Q1,2024,Friday
D1330,18-07-2024,18,7,Q3,2024,Thursday
D1331,12-10-2025,12,10,Q4,2025,Sunday
D1332,18-01-2025,18,1,Q1,2025,Saturday
D1333,26-02-2024,26,2,Q1,2024,Monday
D1334,27-08-2025,27,8,Q3,2025,Wednesday
D1335,28-07-2025,28,7,Q3,2025,Monday
D1336,23-09-2025,23,9,Q3,2025,Tuesday
D1337,25-01-2025,25,1,Q1,2025,Saturday
D1338,25-04-2025,25,4,Q2,2025,Friday
D1339,20-01-2024,20,1,Q1,2024,Saturday
D1340,06-09-2025,6,9,Q3,2025,Saturday
D1341,27-03-2025,27,3,Q1,2025,Thursday
D1342,28-06-2024,28,6,Q2,2024,Friday
D1343,26-01-2024,26,1,Q1,2024,Friday
D1344,26-11-2024,26,11,Q4,2024,Tuesday
D1345,22-01-2024,22,1,Q1,2024,Monday
D1346,08-02-2024,8,2,Q1,2024,Thursday
D1347,08-02-2024,8,2,Q1,2024,Thursday
D1348,29-10-2023,29,10,Q4,2023,Sunday
D1349,02-07-2024,2,7,Q3,2024,Tuesday
D1350,29-09-2025,29,9,Q3,2025,Monday
D1351,20-05-2024,20,5,Q2,2024,Monday
D1352,28-09-2025,28,9,Q3,2025,Sunday
D1353,01-12-2023,1,12,Q4,2023,Friday
D1354,17-04-2024,17,4,Q2,2024,Wednesday
D1355,04-01-2024,4,1,Q1,2024,Thursday
D1356,20-04-2024,20,4,Q2,2024,Saturday
D1357,11-01-2025,11,1,Q1,2025,Saturday
D1358,31-12-2023,31,12,Q4,2023,Sunday
D1359,08-04-2024,8,4,Q2,2024,Monday
D1360,12-04-2024,12,4,Q2,2024,Friday
D1361,02-10-2025,2,10,Q4,2025,Thursday
D1362,20-07-2024,20,7,Q3,2024,Saturday
D1363,30-09-2025,30,9,Q3,2025,Tuesday
D1364,09-01-2024,9,1,Q1,2024,Tuesday
D1365,16-12-2024,16,12,Q4,2024,Monday
D1366,06-09-2025,6,9,Q3,2025,Saturday
D1367,06-01-2025,6,1,Q1,2025,Monday
D1368,11-10-2024,11,10,Q4,2024,Friday
D1369,04-08-2024,4,8,Q3,2024,Sunday
D1370,04-04-2024,4,4,Q2,2024,Thursday
D1371,09-03-2025,9,3,Q1,2025,Sunday
D1372,05-04-2024,5,4,Q2,2024,Friday
D1373,05-05-2025,5,5,Q2,2025,Monday
D1374,15-03-2025,15,3,Q1,2025,Saturday
D1375,22-12-2024,22,12,Q4,2024,Sunday
D1376,31-01-2025,31,1,Q1,2025,Friday
D1377,12-10-2024,12,10,Q4,2024,Saturday
D1378,15-08-2025,15,8,Q3,2025,Friday
D1379,02-03-2025,2,3,Q1,2025,Sunday
D1380,07-09-2024,7,9,Q3,2024,Saturday
D1381,13-10-2024,13,10,Q4,2024,Sunday
D1382,21-02-2024,21,2,Q1,2024,Wednesday
D1383,20-05-2025,20,5,Q2,2025,Tuesday
D1384,07-05-2024,7,5,Q2,2024,Tuesday
D1385,26-05-2025,26,5,Q2,2025,Monday
D1386,12-02-2025,12,2,Q1,2025,Wednesday
D1387,26-08-2024,26,8,Q3,2024,Monday
D1388,26-09-2025,26,9,Q3,2025,Friday
D1389,18-10-2025,18,10,Q4,2025,Saturday
D1390,18-11-2024,18,11,Q4,2024,Monday
D1391,18-04-2025,18,4,Q2,2025,Friday
D1392,18-11-2023,18,11,Q4,2023,Saturday
D1393,18-04-2025,18,4,Q2,2025,Friday
D1394,29-04-2025,29,4,Q2,2025,Tuesday
D1395,24-04-2025,24,4,Q2,2025,Thursday
D1396,05-01-2024,5,1,Q1,2024,Friday
D1397,09-12-2024,9,12,Q4,2024,Monday
D1398,22-09-2025,22,9,Q3,2025,Monday
D1399,18-09-2024,18,9,Q3,2024,Wednesday
D1400,25-09-2024,25,9,Q3,2024,Wednesday
D1401,06-01-2025,6,1,Q1,2025,Monday
D1402,29-06-2024,29,6,Q2,2024,Saturday
D1403,23-09-2024,23,9,Q3,2024,Monday
D1404,08-11-2024,8,11,Q4,2024,Friday
D1405,20-03-2024,20,3,Q1,2024,Wednesday
D1406,24-02-2024,24,2,Q1,2024,Saturday
D1407,08-06-2024,8,6,Q2,2024,Saturday
D1408,05-08-2025,5,8,Q3,2025,Tuesday
D1409,05-12-2024,5,12,Q4,2024,Thursday
D1410,01-06-2025,1,6,Q2,2025,Sunday
D1411,06-11-2023,6,11,Q4,2023,Monday
D1412,16-06-2024,16,6,Q2,2024,Sunday
D1413,22-01-2024,22,1,Q1,2024,Monday
D1414,01-12-2024,1,12,Q4,2024,Sunday
D1415,27-12-2023,27,12,Q4,2023,Wednesday
D1416,10-03-2025,10,3,Q1,2025,Monday
D1417,04-06-2024,4,6,Q2,2024,Tuesday
D1418,02-10-2024,2,10,Q4,2024,Wednesday
D1419,18-05-2024,18,5,Q2,2024,Saturday
D1420,21-02-2025,21,2,Q1,2025,Friday
D1421,27-10-2023,27,10,Q4,2023,Friday
D1422,05-09-2024,5,9,Q3,2024,Thursday
D1423,24-07-2024,24,7,Q3,2024,Wednesday
D1424,19-03-2025,19,3,Q1,2025,Wednesday
D1425,08-03-2025,8,3,Q1,2025,Saturday
D1426,11-10-2024,11,10,Q4,2024,Friday
D1427,30-03-2025,30,3,Q1,2025,Sunday
D1428,13-08-2024,13,8,Q3,2024,Tuesday
D1429,31-05-2024,31,5,Q2,2024,Friday
D1430,17-08-2025,17,8,Q3,2025,Sunday
D1431,04-06-2025,4,6,Q2,2025,Wednesday
D1432,06-12-2023,6,12,Q4,2023,Wednesday
D1433,10-11-2024,10,11,Q4,2024,Sunday
D1434,19-07-2025,19,7,Q3,2025,Saturday
D1435,20-09-2025,20,9,Q3,2025,Saturday
D1436,05-01-2025,5,1,Q1,2025,Sunday
D1437,25-01-2024,25,1,Q1,2024,Thursday
D1438,18-11-2024,18,11,Q4,2024,Monday
D1439,12-08-2025,12,8,Q3,2025,Tuesday
D1440,06-09-2025,6,9,Q3,2025,Saturday
D1441,21-02-2025,21,2,Q1,2025,Friday
D1442,13-09-2025,13,9,Q3,2025,Saturday
D1443,01-05-2025,1,5,Q2,2025,Thursday
D1444,26-02-2025,26,2,Q1,2025,Wednesday
D1445,17-11-2024,17,11,Q4,2024,Sunday
D1446,27-04-2024,27,4,Q2,2024,Saturday
D1447,08-07-2025,8,7,Q3,2025,Tuesday
D1448,10-06-2025,10,6,Q2,2025,Tuesday
D1449,20-03-2025,20,3,Q1,2025,Thursday
D1450,25-07-2025,25,7,Q3,2025,Friday
D1451,29-11-2023,29,11,Q4,2023,Wednesday
D1452,20-07-2025,20,7,Q3,2025,Sunday
D1453,25-12-2024,25,12,Q4,2024,Wednesday
D1454,07-03-2025,7,3,Q1,2025,Friday
D1455,24-05-2025,24,5,Q2,2025,Saturday
D1456,05-10-2025,5,10,Q4,2025,Sunday
D1457,10-06-2024,10,6,Q2,2024,Monday
D1458,22-02-2025,22,2,Q1,2025,Saturday
D1459,14-09-2025,14,9,Q3,2025,Sunday
D1460,10-10-2025,10,10,Q4,2025,Friday
D1461,04-06-2024,4,6,Q2,2024,Tuesday
D1462,06-07-2025,6,7,Q3,2025,Sunday
D1463,01-07-2025,1,7,Q3,2025,Tuesday
D1464,15-01-2025,15,1,Q1,2025,Wednesday
D1465,06-04-2025,6,4,Q2,2025,Sunday
D1466,14-10-2025,14,10,Q4,2025,Tuesday
D1467,25-01-2024,25,1,Q1,2024,Thursday
D1468,17-04-2024,17,4,Q2,2024,Wednesday
D1469,07-07-2025,7,7,Q3,2025,Monday
D1470,08-07-2024,8,7,Q3,2024,Monday
D1471,12-09-2025,12,9,Q3,2025,Friday
D1472,30-07-2025,30,7,Q3,2025,Wednesday
D1473,17-04-2025,17,4,Q2,2025,Thursday
D1474,02-06-2025,2,6,Q2,2025,Monday
D1475,31-10-2024,31,10,Q4,2024,Thursday
D1476,05-11-2024,5,11,Q4,2024,Tuesday
D1477,22-12-2024,22,12,Q4,2024,Sunday
D1478,01-04-2024,1,4,Q2,2024,Monday
D1479,12-01-2024,12,1,Q1,2024,Friday
D1480,28-01-2025,28,1,Q1,2025,Tuesday
D1481,19-07-2025,19,7,Q3,2025,Saturday
D1482,01-03-2025,1,3,Q1,2025,Saturday
D1483,30-10-2024,30,10,Q4,2024,Wednesday
D1484,01-07-2025,1,7,Q3,2025,Tuesday
D1485,15-06-2025,15,6,Q2,2025,Sunday
D1486,18-10-2024,18,10,Q4,2024,Friday
D1487,10-10-2024,10,10,Q4,2024,Thursday
D1488,22-06-2024,22,6,Q2,2024,Saturday
D1489,18-10-2024,18,10,Q4,2024,Friday
D1490,07-06-2025,7,6,Q2,2025,Saturday
D1491,14-02-2025,14,2,Q1,2025,Friday
D1492,18-10-2025,18,10,Q4,2025,Saturday
D1493,27-04-2024,27,4,Q2,2024,Saturday
D1494,27-07-2025,27,7,Q3,2025,Sunday
D1495,30-03-2024,30,3,Q1,2024,Saturday
D1496,15-01-2024,15,1,Q1,2024,Monday
D1497,11-05-2025,11,5,Q2,2025,Sunday
D1498,01-07-2024,1,7,Q3,2024,Monday
D1499,15-04-2025,15,4,Q2,2025,Tuesday
D1500,29-01-2025,29,1,Q1,2025,Wednesday
D1501,13-10-2025,13,10,Q4,2025,Monday
D1502,07-03-2024,7,3,Q1,2024,Thursday
D1503,29-01-2024,29,1,Q1,2024,Monday
D1504,21-05-2025,21,5,Q2,2025,Wednesday
D1505,12-08-2025,12,8,Q3,2025,Tuesday
D1506,11-01-2025,11,1,Q1,2025,Saturday
D1507,21-07-2024,21,7,Q3,2024,Sunday
D1508,29-10-2023,29,10,Q4,2023,Sunday
D1509,05-03-2024,5,3,Q1,2024,Tuesday
D1510,02-08-2024,2,8,Q3,2024,Friday
D1511,08-05-2025,8,5,Q2,2025,Thursday
D1512,05-05-2024,5,5,Q2,2024,Sunday
D1513,13-10-2025,13,10,Q4,2025,Monday
D1514,01-08-2025,1,8,Q3,2025,Friday
D1515,20-09-2025,20,9,Q3,2025,Saturday
D1516,27-10-2024,27,10,Q4,2024,Sunday
